season,stateoc,agecat,osh,rcu,pi
1,UT,5,0,1208,297
1,UT,5,1,3045,358
1,VA,1,0,47,3
1,VA,1,1,23,9
1,VA,2,0,26,4
1,VA,2,1,11,4
1,VA,3,0,452,78
1,VA,3,1,584,43
1,VA,4,0,1595,224
1,VA,4,1,1813,74
1,VA,5,0,7228,1536
1,VA,5,1,10707,746
1,VT,1,0,8,1
1,VT,1,1,0,0
1,VT,2,0,0,0
1,VT,2,1,2,1
1,VT,3,0,19,2
1,VT,3,1,49,3
1,VT,4,0,99,19
1,VT,4,1,179,6
1,VT,5,0,588,134
1,VT,5,1,1264,145
1,WA,1,0,34,6
1,WA,1,1,16,6
1,WA,2,0,18,2
1,WA,2,1,12,3
1,WA,3,0,377,66
1,WA,3,1,475,37
1,WA,4,0,1165,211
1,WA,4,1,1746,111
1,WA,5,0,5104,1117
1,WA,5,1,10993,1075
1,WI,1,0,18,2
1,WI,1,1,26,9
1,WI,2,0,10,4
1,WI,2,1,7,2
1,WI,3,0,248,34
1,WI,3,1,433,34
1,WI,4,0,772,119
1,WI,4,1,1470,98
1,WI,5,0,3970,878
1,WI,5,1,11125,1031
1,WV,1,0,8,1
1,WV,1,1,6,1
1,WV,2,0,5,3
1,WV,2,1,3,0
1,WV,3,0,197,48
1,WV,3,1,268,16
1,WV,4,0,638,126
1,WV,4,1,821,37
1,WV,5,0,2761,666
1,WV,5,1,4223,325
1,WY,1,0,1,0
1,WY,1,1,5,2
1,WY,2,0,2,0
1,WY,2,1,2,0
1,WY,3,0,21,5
1,WY,3,1,63,4
1,WY,4,0,78,16
1,WY,4,1,156,4
1,WY,5,0,359,81
1,WY,5,1,832,81
2,AK,1,0,4,1
2,AK,1,1,5,1
2,AK,2,0,3,1
2,AK,2,1,1,0
2,AK,3,0,33,4
2,AK,3,1,74,4
2,AK,4,0,103,24
2,AK,4,1,235,8
2,AK,5,0,297,62
2,AK,5,1,539,29
2,AL,1,0,36,1
2,AL,1,1,13,3
2,AL,2,0,12,3
2,AL,2,1,16,0
2,AL,3,0,460,75
2,AL,3,1,600,19
2,AL,4,0,1509,253
2,AL,4,1,1811,34
2,AL,5,0,5489,1207
2,AL,5,1,8082,358
2,AR,1,0,11,0
2,AR,1,1,16,5
2,AR,2,0,9,3
2,AR,2,1,7,3
2,AR,3,0,244,46
2,AR,3,1,438,25
2,AR,4,0,742,132
2,AR,4,1,1297,44
2,AR,5,0,3327,777
2,AR,5,1,5849,405
2,AZ,1,0,36,1
2,AZ,1,1,29,6
2,AZ,2,0,27,7
2,AZ,2,1,13,1
2,AZ,3,0,353,67
2,AZ,3,1,489,41
2,AZ,4,0,948,162
2,AZ,4,1,1850,88
2,AZ,5,0,3692,798
2,AZ,5,1,11266,800
2,CA,1,0,228,31
2,CA,1,1,111,22
2,CA,2,0,106,23
2,CA,2,1,76,13
2,CA,3,0,2412,469
2,CA,3,1,2801,190
2,CA,4,0,7056,1398
2,CA,4,1,9221,421
2,CA,5,0,29606,7850
2,CA,5,1,56748,4081
2,CO,1,0,14,2
2,CO,1,1,9,1
2,CO,2,0,15,1
2,CO,2,1,11,3
2,CO,3,0,221,38
2,CO,3,1,392,31
2,CO,4,0,663,107
2,CO,4,1,1202,67
2,CO,5,0,2318,442
2,CO,5,1,7100,647
2,CT,1,0,12,0
2,CT,1,1,3,1
2,CT,2,0,5,3
2,CT,2,1,6,0
2,CT,3,0,222,37
2,CT,3,1,267,14
2,CT,4,0,649,100
2,CT,4,1,859,23
2,CT,5,0,4054,841
2,CT,5,1,6626,468
2,DC,1,0,17,3
2,DC,1,1,5,2
2,DC,2,0,4,2
2,DC,2,1,4,3
2,DC,3,0,105,19
2,DC,3,1,50,2
2,DC,4,0,237,24
2,DC,4,1,187,8
2,DC,5,0,725,115
2,DC,5,1,707,32
2,DE,1,0,16,3
2,DE,1,1,2,0
2,DE,2,0,8,2
2,DE,2,1,2,0
2,DE,3,0,58,7
2,DE,3,1,76,3
2,DE,4,0,160,34
2,DE,4,1,227,4
2,DE,5,0,771,164
2,DE,5,1,1607,89
2,FL,1,0,131,15
2,FL,1,1,45,8
2,FL,2,0,51,9
2,FL,2,1,32,7
2,FL,3,0,1249,201
2,FL,3,1,1529,83
2,FL,4,0,3878,566
2,FL,4,1,5479,181
2,FL,5,0,18010,2973
2,FL,5,1,35107,1723
2,GA,1,0,85,5
2,GA,1,1,30,9
2,GA,2,0,26,4
2,GA,2,1,39,4
