year,age,pop
2014,59,4151512
2014,60,3981755
2014,61,3830701
2014,62,3682166
2014,63,3569056
2014,64,3485992
2014,65,3380825
2014,66,3344794
2014,67,3484014
2014,68,2571100
2014,69,2533751
2014,70,2464843
2014,71,2519507
2014,72,2194211
2014,73,2002134
2014,74,1889901
2014,75,1773949
2014,76,1694182
2014,77,1556807
2014,78,1481179
2014,79,1414026
2014,80,1263371
2014,81,1215525
2014,82,1153165
2014,83,1089796
2014,84,1035631
2014,85+,6154403
2014,,318622525
2015,0,3984294
2015,1,3973189
2015,2,3965536
2015,3,3973376
2015,4,4019335
2015,5,4016658
2015,6,4016732
2015,7,4145829
2015,8,4165408
2015,9,4131317
2015,10,4119269
2015,11,4128022
2015,12,4097932
2015,13,4081296
2015,14,4183831
2015,15,4249635
2015,16,4184373
2015,17,4192344
2015,18,4213143
2015,19,4254939
2015,20,4353486
2015,21,4445074
2015,22,4517314
2015,23,4641661
2015,24,4729252
2015,25,4722239
2015,26,4536357
2015,27,4432055
2015,28,4358168
2015,29,4377349
2015,30,4412626
2015,31,4274952
2015,32,4339718
2015,33,4337144
2015,34,4289883
2015,35,4373944
2015,36,4102517
2015,37,4021765
2015,38,3980639
2015,39,3864518
2015,40,3983367
2015,41,3858785
2015,42,3917161
2015,43,4093397
2015,44,4327295
2015,45,4381059
2015,46,4151692
2015,47,4065383
2015,48,4069724
2015,49,4144843
2015,50,4392884
2015,51,4472068
2015,52,4466906
2015,53,4456110
2015,54,4509126
2015,55,4546665
2015,56,4391484
2015,57,4363359
2015,58,4312945
2015,59,4156767
2015,60,4119957
2015,61,3948750
2015,62,3796367
2015,63,3646303
2015,64,3531786
2015,65,3447219
2015,66,3340042
2015,67,3300801
2015,68,3434771
2015,69,2531174
2015,70,2490999
2015,71,2419540
2015,72,2468839
2015,73,2145541
2015,74,1953194
2015,75,1839060
2015,76,1721269
2015,77,1638604
2015,78,1500111
2015,79,1421387
2015,80,1350788
2015,81,1200591
2015,82,1148785
2015,83,1082286
2015,84,1014952
2015,85+,6278584
2015,,321039839
2016,0,3955377
2016,1,4004017
2016,2,3990991
2016,3,3981326
2016,4,3987866
2016,5,4032787
2016,6,4029444
2016,7,4029700
2016,8,4158968
2016,9,4178605
2016,10,4144625
2016,11,4132611
2016,12,4141353
2016,13,4111886
2016,14,4096727
2016,15,4201611
2016,16,4270670
2016,17,4210248
2016,18,4223290
2016,19,4245565
2016,20,4286564
2016,21,4386414
2016,22,4480595
2016,23,4553777
2016,24,4676663
2016,25,4763194
2016,26,4754096
2016,27,4567423
2016,28,4461130
2016,29,4385585
2016,30,4403377
2016,31,4434930
2016,32,4294385
2016,33,4356692
2016,34,4352115
2016,35,4303181
2016,36,4385025
2016,37,4112091
2016,38,4030605
2016,39,3988387
2016,40,3870893
2016,41,3987834
2016,42,3861852
2016,43,3918537
2016,44,4093328
2016,45,4324551
2016,46,4376488
2016,47,4146627
2016,48,4058776
2016,49,4061192
2016,50,4133931
2016,51,4378704
2016,52,4455485
2016,53,4448135
2016,54,4435174
2016,55,4485896
2016,56,4520972
2016,57,4364273
2016,58,4334230
2016,59,4281943
2016,60,4124852
2016,61,4085979
2016,62,3913573
2016,63,3758910
2016,64,3607574
2016,65,3492271
2016,66,3405526
2016,67,3296304
2016,68,3254306
2016,69,3381146
2016,70,2488370
2016,71,2446446
2016,72,2372281
2016,73,2415320
2016,74,2094035
2016,75,1901800
2016,76,1785775
2016,77,1666031
2016,78,1580281
2016,79,1440868
2016,80,1359236
2016,81,1285201
2016,82,1135811
2016,83,1079926
2016,84,1009519
2016,85+,6381877
2016,,323405935
2017,0,3939295
2017,1,3975252
2017,2,4021775
2017,3,4006755
2017,4,3995783
2017,5,4001318
2017,6,4045532
2017,7,4042379
2017,8,4042838
2017,9,4172171
2017,10,4191919
2017,11,4157962
2017,12,4145953
2017,13,4155315
2017,14,4127305
2017,15,4114560
2017,16,4222691
2017,17,4296575
2017,18,4241226
2017,19,4256608
2017,20,4276745
2017,21,4318304
2017,22,4420763
2017,23,4515308
2017,24,4587515
2017,25,4708854
2017,26,4794326
2017,27,4784135
2017,28,4595406
2017,29,4487739
2017,30,4410631
2017,31,4425408
2017,32,4453718
2017,33,4310977
2017,34,4371478
2017,35,4364947
2017,36,4313987
